                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5236,                 2.0931,                 1.4622,                0.82354,                0.71021,                0.82575,                0.52964,                   1.19,                 2.0655,                  1.224,             0.00065942,             0.00065942,             0.00065942
                      2,                 1.2788,                 1.4877,                 1.2659,                0.86023,                 0.8913,                0.93372,                0.59928,                 1.1717,                 1.3621,                 1.1967,              0.0013042,              0.0013042,              0.0013042
                      3,                 1.2826,                 1.3558,                 1.2609,                 0.8453,                0.86542,                0.89855,                0.62827,                 1.0326,                 1.5956,                 1.1072,               0.001927,               0.001927,               0.001927
                      4,                 1.2306,                 1.2373,                 1.2565,                0.88926,                0.93789,                 0.9448,                0.63727,                 1.1175,                 1.0708,                 1.1198,               0.001901,               0.001901,               0.001901
                      5,                 1.2299,                 1.1696,                 1.2367,                0.88548,                0.91244,                0.93405,                0.69977,                0.93855,                0.95502,                 1.0546,               0.001901,               0.001901,               0.001901
                      6,                 1.1776,                  1.051,                 1.2116,                0.89056,                0.90683,                0.96101,                0.68909,                 1.0109,                0.90274,                 1.0989,               0.001868,               0.001868,               0.001868
                      7,                  1.193,                  1.065,                 1.2254,                0.89566,                0.93478,                 0.9635,                0.70341,                0.98449,                0.75765,                 1.0582,               0.001835,               0.001835,               0.001835
                      8,                 1.1014,                0.96722,                 1.1805,                0.90322,                0.93168,                0.95778,                0.66955,                 1.0113,                0.79947,                 1.0695,               0.001802,               0.001802,               0.001802
                      9,                 1.0929,                0.94171,                 1.1686,                0.91516,                0.93799,                 0.9689,                0.74826,                0.88695,                 0.7818,                 1.0447,               0.001769,               0.001769,               0.001769
                     10,                 1.0637,                0.89102,                 1.1574,                 0.8998,                0.97605,                0.97903,                0.76866,                 0.8247,                0.59187,                 0.9942,               0.001736,               0.001736,               0.001736
                     11,                 1.0966,                0.89066,                 1.1516,                0.92379,                0.95031,                0.96051,                0.74985,                0.82404,                 0.6702,                 1.0193,               0.001703,               0.001703,               0.001703
                     12,                 1.0777,                0.89014,                 1.1579,                 0.9137,                0.96584,                 0.9768,                0.77417,                0.82796,                0.69572,                0.97209,                0.00167,                0.00167,                0.00167
                     13,                 1.0216,                0.84885,                 1.1216,                0.91075,                0.95075,                0.97557,                0.79296,                0.75991,                0.58967,                0.95956,               0.001637,               0.001637,               0.001637
                     14,                 1.0038,                0.80878,                 1.1157,                0.93156,                 0.9723,                0.98288,                0.80951,                0.73657,                0.55662,                0.95922,               0.001604,               0.001604,               0.001604
                     15,                0.98858,                0.79798,                 1.1163,                0.91343,                0.96894,                0.97681,                 0.8032,                0.73019,                0.59126,                0.94903,               0.001571,               0.001571,               0.001571
                     16,                0.97356,                0.77904,                 1.0985,                0.91401,                0.97205,                 0.9777,                0.77595,                0.77209,                0.60385,                0.96147,               0.001538,               0.001538,               0.001538
                     17,                0.95036,                0.76012,                 1.0912,                0.91417,                 0.9593,                0.97219,                0.76573,                0.79985,                0.58581,                 0.9852,               0.001505,               0.001505,               0.001505
                     18,                0.95811,                0.76439,                 1.1039,                0.93616,                0.95642,                0.98021,                0.81289,                0.71496,                0.57444,                0.93638,               0.001472,               0.001472,               0.001472
                     19,                0.91358,                0.73712,                 1.0837,                0.93072,                0.95652,                0.96975,                0.81177,                0.69621,                0.52038,                0.93707,               0.001439,               0.001439,               0.001439
                     20,                0.91873,                0.73847,                 1.0941,                0.92043,                0.97001,                0.98006,                0.80689,                0.72281,                0.57028,                0.94947,               0.001406,               0.001406,               0.001406
                     21,                0.91483,                0.72698,                 1.0924,                0.94076,                0.95031,                0.97608,                0.82027,                0.67317,                0.50313,                0.91749,               0.001373,               0.001373,               0.001373
                     22,                0.89644,                0.70396,                 1.0625,                0.93678,                0.96631,                0.98217,                0.81671,                0.67606,                0.51754,                0.94591,                0.00134,                0.00134,                0.00134
                     23,                0.89125,                0.70325,                 1.0622,                0.92253,                0.97205,                0.98162,                0.81347,                0.72012,                0.51384,                0.94172,               0.001307,               0.001307,               0.001307
                     24,                0.90843,                0.70703,                 1.0731,                 0.9193,                0.97826,                0.98273,                0.80442,                0.72607,                0.51375,                0.93672,               0.001274,               0.001274,               0.001274
                     25,                0.86783,                0.67158,                 1.0577,                0.92069,                0.97335,                0.97698,                0.81052,                0.68761,                0.50313,                0.92292,               0.001241,               0.001241,               0.001241
                     26,                 0.8675,                0.67106,                 1.0564,                 0.9382,                0.97205,                0.98107,                0.83287,                0.66296,                0.47675,                0.91255,               0.001208,               0.001208,               0.001208
                     27,                0.85947,                0.65727,                 1.0566,                0.92311,                0.96944,                0.97668,                0.83182,                0.66324,                0.49008,                  0.917,               0.001175,               0.001175,               0.001175
                     28,                0.84867,                0.66196,                 1.0538,                0.93273,                0.97205,                0.97601,                0.82383,                 0.6384,                0.48578,                0.89868,               0.001142,               0.001142,               0.001142
                     29,                0.82511,                0.64064,                 1.0371,                0.92284,                0.96894,                0.98146,                0.84326,                0.62251,                0.46072,                0.90664,               0.001109,               0.001109,               0.001109
                     30,                0.82668,                0.62968,                 1.0431,                0.93333,                0.96584,                0.98013,                0.83678,                0.61877,                 0.4517,                0.89283,               0.001076,               0.001076,               0.001076
                     31,                0.83279,                0.64726,                 1.0455,                0.92071,                0.98137,                0.98492,                0.85356,                0.59765,                 0.4354,                0.89937,               0.001043,               0.001043,               0.001043
                     32,                0.80566,                0.61103,                 1.0285,                0.92666,                0.98104,                0.98222,                0.84347,                0.62363,                0.44615,                0.89796,                0.00101,                0.00101,                0.00101
                     33,                0.81129,                0.62238,                 1.0311,                0.94569,                0.96273,                0.98546,                0.84439,                0.62538,                0.45828,                0.90502,               0.000977,               0.000977,               0.000977
                     34,                0.82569,                0.61175,                 1.0287,                0.92723,                0.98137,                0.98136,                0.83118,                0.65786,                0.45098,                 0.9059,               0.000944,               0.000944,               0.000944
                     35,                0.78963,                0.60418,                 1.0222,                0.94204,                0.95898,                 0.9799,                0.84653,                0.59942,                0.43027,                0.89045,               0.000911,               0.000911,               0.000911
                     36,                0.77933,                0.59696,                 1.0265,                0.92553,                0.98137,                0.98396,                0.84762,                0.59564,                0.42706,                0.89474,               0.000878,               0.000878,               0.000878
                     37,                0.79817,                0.60181,                 1.0166,                0.93249,                0.97205,                0.98431,                 0.8541,                0.58816,                0.41066,                0.89886,               0.000845,               0.000845,               0.000845
                     38,                0.78351,                0.59994,                  1.032,                0.92667,                0.98107,                0.98738,                0.85291,                0.58916,                0.40044,                0.89005,               0.000812,               0.000812,               0.000812
                     39,                0.76788,                0.58696,                 1.0169,                0.94086,                0.95963,                0.98394,                 0.8499,                0.59706,                0.41787,                0.89222,               0.000779,               0.000779,               0.000779
                     40,                0.76466,                0.57866,                 1.0135,                0.91601,                0.98137,                0.97805,                0.84107,                0.58751,                0.42887,                0.89146,               0.000746,               0.000746,               0.000746
                     41,                0.75667,                0.56492,                 1.0146,                0.95093,                  0.963,                0.98632,                0.85903,                0.58098,                 0.3971,                0.88533,               0.000713,               0.000713,               0.000713
                     42,                0.75589,                 0.5622,                 1.0113,                0.91402,                0.98137,                0.98348,                0.85343,                0.56876,                0.41895,                 0.8788,                0.00068,                0.00068,                0.00068
                     43,                0.73415,                0.55709,                 1.0017,                 0.9393,                0.96584,                0.98445,                0.85989,                 0.5737,                0.39742,                0.88761,               0.000647,               0.000647,               0.000647
                     44,                0.72251,                0.54502,                0.99851,                  0.925,                0.95751,                0.98307,                0.84955,                0.58335,                0.42544,                0.89036,               0.000614,               0.000614,               0.000614
                     45,                0.71138,                0.52951,                 1.0021,                0.93397,                0.96635,                0.97991,                0.85464,                0.56161,                 0.4058,                0.87638,               0.000581,               0.000581,               0.000581
                     46,                0.71967,                0.53275,                0.99421,                 0.9482,                0.96642,                0.98348,                0.85974,                0.56333,                0.39037,                0.87157,               0.000548,               0.000548,               0.000548
                     47,                0.72403,                0.53189,                 0.9963,                0.92269,                0.98137,                0.98391,                0.86216,                0.57052,                0.40014,                0.87112,               0.000515,               0.000515,               0.000515
                     48,                0.71121,                0.52172,                0.98957,                0.92413,                 0.9835,                0.98168,                0.86085,                0.54855,                0.39469,                0.87061,               0.000482,               0.000482,               0.000482
                     49,                0.68626,                 0.5127,                0.99437,                0.94283,                0.97319,                0.98217,                0.87036,                 0.5465,                0.38587,                0.87576,               0.000449,               0.000449,               0.000449
                     50,                0.68753,                0.51211,                0.99107,                0.93721,                0.97344,                0.98443,                 0.8712,                0.53124,                0.38724,                0.87363,               0.000416,               0.000416,               0.000416
                     51,                0.52329,                0.39144,                0.89918,                0.92696,                0.98534,                0.98477,                0.87339,                0.52066,                 0.3666,                0.86679,               0.000383,               0.000383,               0.000383
                     52,                0.51239,                0.37391,                0.89732,                0.94028,                0.97798,                0.98393,                0.87007,                0.53371,                0.37596,                0.85977,                0.00035,                0.00035,                0.00035
                     53,                0.52292,                 0.3789,                0.90807,                0.93212,                0.98087,                0.98473,                0.88222,                0.51174,                0.37277,                0.86272,               0.000317,               0.000317,               0.000317
                     54,                0.50298,                 0.3706,                0.88727,                0.94846,                0.96584,                0.98533,                0.88395,                 0.5116,                0.35585,                0.86496,               0.000284,               0.000284,               0.000284
                     55,                0.48764,                0.36207,                0.87945,                0.93497,                0.97826,                0.98507,                0.88731,                0.50156,                0.35174,                0.85995,               0.000251,               0.000251,               0.000251
                     56,                0.48613,                0.35017,                0.88824,                0.94863,                0.97494,                 0.9866,                0.88743,                0.49273,                0.34386,                0.85976,               0.000218,               0.000218,               0.000218
                     57,                0.48319,                0.34664,                0.88886,                0.93916,                0.97205,                0.98626,                0.89281,                0.49589,                0.34174,                0.86284,               0.000185,               0.000185,               0.000185
                     58,                0.48214,                0.34011,                0.88901,                0.94504,                0.97826,                0.98777,                0.89494,                0.48996,                0.33889,                0.85938,               0.000152,               0.000152,               0.000152
                     59,                0.47816,                0.33985,                0.89283,                0.94993,                0.97516,                0.98748,                0.89296,                0.48379,                0.33289,                0.85615,               0.000119,               0.000119,               0.000119
                     60,                0.47308,                 0.3351,                0.89093,                0.95284,                0.97516,                0.98778,                 0.8985,                0.47549,                0.33297,                0.84996,                8.6e-05,                8.6e-05,                8.6e-05
